1_group5,1455063442,milestoned,"Web Scraping Application",user_13,545143060
2_group5,1455065711,labeled,enhancement,user_39,545169799
2_group5,1455065711,assigned,user_39,user_39,545169800
2_group5,1455065711,milestoned,"Solution 2: Plugin Development",user_39,545169802
3_group5,1455068365,labeled,enhancement,user_13,545202149
3_group5,1455068369,milestoned,"Solution 1: Web Scraping Application",user_13,545202204
3_group5,1455068376,assigned,user_13,user_13,545202249
1_group5,1455068397,labeled,enhancement,user_13,545202505
4_group5,1455764462,labeled,enhancement,user_13,554528514
4_group5,1455764462,milestoned,"Solution 1: Web Scraping Application",user_13,554528515
5_group5,1455764494,labeled,enhancement,user_13,554528942
5_group5,1455764494,milestoned,"Solution 1: Web Scraping Application",user_13,554528946
6_group5,1455764515,labeled,enhancement,user_13,554529229
6_group5,1455764515,milestoned,"Solution 1: Web Scraping Application",user_13,554529233
7_group5,1455764536,labeled,enhancement,user_13,554529503
7_group5,1455764536,milestoned,"Solution 1: Web Scraping Application",user_13,554529504
8_group5,1455773922,milestoned,"Solution 1: Web Scraping Application",user_57,554617120
9_group5,1455773972,milestoned,"Solution 1: Web Scraping Application",user_57,554617523
10_group5,1455774138,milestoned,"Solution 2: Plugin Development",user_57,554618982
11_group5,1455774191,milestoned,"Solution 3: Android application for reviews",user_57,554619536
8_group5,1455774807,labeled,enhancement,user_57,554627819
9_group5,1455774816,labeled,enhancement,user_57,554627902
10_group5,1455774822,labeled,enhancement,user_57,554627974
11_group5,1455774829,labeled,enhancement,user_57,554628048
12_group5,1455775184,labeled,enhancement,user_57,554631311
12_group5,1455775184,milestoned,"Solution 1: Web Scraping Application",user_57,554631312
13_group5,1455822086,labeled,enhancement,user_18,555535053
13_group5,1455822086,milestoned,"Solution 1: Web Scraping Application",user_18,555535054
14_group5,1455822188,labeled,Android,user_18,555537169
14_group5,1455822188,milestoned,"Solution 3: Android application for reviews",user_18,555537170
15_group5,1455822317,labeled,Android,user_18,555540165
15_group5,1455822317,milestoned,"Solution 3: Android application for reviews",user_18,555540166
16_group5,1455822377,labeled,enhancement,user_18,555541684
16_group5,1455822377,milestoned,"Solution 1: Web Scraping Application",user_18,555541685
17_group5,1455822491,labeled,enhancement,user_13,555544002
17_group5,1455822491,assigned,user_13,user_13,555544003
17_group5,1455822491,milestoned,"Solution 1: Web Scraping Application",user_13,555544004
6_group5,1455824450,assigned,user_13,user_13,555592484
1_group5,1455824580,renamed,renamed,user_13,555594969
1_group5,1455824583,assigned,user_13,user_13,555595042
17_group5,1455824738,labeled,"Web App",user_13,555597922
17_group5,1455824747,unlabeled,enhancement,user_13,555598079
7_group5,1455824778,labeled,"Web App",user_13,555598831
7_group5,1455824778,unlabeled,enhancement,user_13,555598832
1_group5,1455824800,labeled,"Web App",user_13,555599257
1_group5,1455824800,unlabeled,enhancement,user_13,555599258
